RHO   : 1.225
NU    : 1.463e-05
B     : 2
U_inf : 7.9
RPM   : 140
power : 214.02484297274958
R_out : 1.47
R_in  : 0.059
N     : 200
M     : 200
dt    : 0.05
thrust: 23.99041799066547
eta   : 0.8855247806460868
optsucess:Optimization terminated successfully
îºåar[m],óÉå∑í∑chord[m],éÊïtäptheta[deg],ó¨ì¸äpphi[deg],å}äpalpha[deg],èzä¬gamma,Re,ógóÕåWêîCL,çRóÕåWêîCD,ó¨ì¸ë¨ìxV,ã«èäógóÕdL,ã«èäçRóÕdD
6.252749999999999975e-02,7.579286830992319410e-03,nan,8.070938966368485978e+01,nan,1.119192259323355428e-02,4.127920788271559104e+03,3.706457395437749991e-01,9.177912559514196655e-02,7.967963540509805931e+00,7.706996162922743901e-04,1.908402804437533799e-04
6.958250000000000546e-02,1.404689838645195935e-02,nan,7.996883960174854167e+01,nan,2.064639795130676289e-02,7.662826290925381727e+03,3.683332990351851355e-01,6.599764399695512429e-02,7.980918317481683566e+00,1.424066488667597146e-03,2.551630096797196279e-04
7.663749999999999729e-02,2.099106425686502256e-02,8.266955214521151163e+01,7.921276621001479157e+01,3.456785935196721393e+00,3.070243552872041828e-02,1.147168666913603010e+04,3.658737243079575596e-01,5.584815088399423116e-02,7.995343824197570726e+00,2.121500211200848165e-03,3.238326669117236258e-04
8.369250000000000300e-02,2.866897980273316882e-02,8.171815543745130128e+01,7.845105823779573484e+01,3.267097199655571771e+00,4.170640891162243763e-02,1.569870380602913974e+04,3.631822969317850536e-01,5.021669603229183404e-02,8.011168805536303950e+00,2.887565117100537523e-03,3.992594930532154503e-04
9.074749999999999484e-02,3.724884610279721037e-02,8.079215090705169189e+01,7.767863261351079984e+01,3.113518293540892046e+00,5.386038580643528334e-02,2.044089248372590009e+04,3.602095937993969876e-01,4.654560544428943542e-02,8.028443517729604295e+00,3.737093149886449965e-03,4.829001399669625820e-04
9.780250000000000055e-02,4.711123827938895614e-02,8.004623851889573416e+01,7.704392728691763637e+01,3.002311231978093797e+00,6.762835771596498180e-02,2.590913012349647761e+04,3.568302617491069806e-01,4.380271750158688110e-02,8.045863100834417025e+00,4.702562613608433570e-03,5.772633203465396112e-04
1.048575000000000063e-01,5.812500378504400350e-02,7.901726017780200095e+01,7.625130638912843040e+01,2.765953788673573222e+00,8.275674098134376544e-02,3.204627069069990102e+04,3.530299508616742687e-01,4.140719917900105573e-02,8.066011349242694806e+00,5.768930607951700505e-03,6.766430387853659707e-04
1.119124999999999981e-01,7.218480155211177973e-02,7.871161688781415933e+01,7.655201806901763462e+01,2.159598818796526487e+00,1.015739788910998004e-01,3.986095860912596254e+04,3.483536744857556045e-01,3.746187333390130908e-02,8.078789605461652812e+00,7.091888026572419797e-03,7.626599930138843950e-04
1.189674999999999899e-01,8.604923356187799133e-02,7.801010993268806715e+01,7.658144341381411380e+01,1.428666518873946245e+00,1.200171331792900115e-01,4.762038803397937590e+04,3.445370955401280688e-01,3.345538867268640915e-02,8.096368184803543144e+00,8.397820839188134198e-03,8.154487972860451029e-04
1.260224999999999818e-01,9.809621011454405792e-02,7.688532542991826801e+01,7.600084699377377717e+01,8.844784361444896215e-01,1.363480249271314393e-01,5.443775791981999646e+04,3.424004217015629292e-01,3.036843049786396020e-02,8.118809049167191816e+00,9.566967205228218973e-03,8.485205047456015033e-04
1.330774999999999875e-01,1.089074774576882232e-01,7.585274025810174692e+01,7.531309483743406474e+01,5.396454206676836174e-01,1.516812649483549880e-01,6.061759627891267155e+04,3.420730819006197465e-01,2.811274136524232262e-02,8.143016937519629295e+00,1.067456993164657593e-02,8.772728389097747765e-04
1.401324999999999654e-01,1.186893800900500756e-01,7.508447651984452875e+01,7.478010196175515034e+01,3.043745580893728042e-01,1.668451862234614502e-01,6.626266662886748964e+04,3.442155146833089652e-01,2.631848715697400823e-02,8.167730019693646426e+00,1.177736573119741656e-02,9.004894768461611668e-04
1.471874999999999989e-01,1.276720317570396446e-01,7.423085259178685646e+01,7.410544929932628122e+01,1.254032924605683608e-01,1.813056600619634140e-01,7.150980600204635994e+04,3.466022933349868773e-01,2.489756164886374259e-02,8.194343329640423335e+00,1.283981082993962408e-02,9.223250620249169845e-04
1.542424999999999768e-01,1.362208356235383722e-01,7.335107578826232100e+01,7.336052119560140738e+01,-9.445407339092033380e-03,1.954153423158787040e-01,7.656046423393925943e+04,3.489311719569264669e-01,2.372009322528734546e-02,8.222527681727028082e+00,1.388663782159911542e-02,9.440037754918429499e-04
1.612974999999999826e-01,1.438564821539789762e-01,7.293405905214373774e+01,7.303916735409761429e+01,-1.051083019538697760e-01,2.101893510280512800e-01,8.112175159376609372e+04,3.542085657024230949e-01,2.259801239866548322e-02,8.249966967400721884e+00,1.498635533399711277e-02,9.561085655195284512e-04
1.683524999999999883e-01,1.503223420839650826e-01,7.215381643640129994e+01,7.234129700687415720e+01,-1.874805704728546574e-01,2.237182936431963975e-01,8.507954226872425352e+04,3.594694796620902522e-01,2.169591888765725826e-02,8.280297433738626367e+00,1.600960224830324727e-02,9.662657094820765015e-04
1.754074999999999662e-01,1.563211257528069331e-01,7.142365334234281704e+01,7.168743241198590965e+01,-2.637790696430868387e-01,2.368414174438585873e-01,8.880947709488240071e+04,3.645725854377077080e-01,2.092329332396271335e-02,8.311625467390157951e+00,1.701283631187490777e-02,9.763887320231440497e-04
1.824624999999999997e-01,1.618795718531774730e-01,7.067454811991271413e+01,7.100736697789290020e+01,-3.328188579801890090e-01,2.495680388927403737e-01,9.232831650828271813e+04,3.695215058629351956e-01,2.025513764549843887e-02,8.344247856927246687e+00,1.799737927340429311e-02,9.865173979244970786e-04
1.895174999999999776e-01,1.671011885702017585e-01,6.993393365222158309e+01,7.032395574037013830e+01,-3.900220881485601532e-01,2.620632888014872153e-01,9.569267378388851648e+04,3.743804543073513957e-01,1.966547392789465276e-02,8.378060200751560771e+00,1.897504307355104766e-02,9.967219456848361043e-04
1.965724999999999834e-01,1.708538845165664122e-01,6.935735384369931467e+01,6.975401450200669728e+01,-3.966606583073793435e-01,2.746024421550511962e-01,9.824386411165080790e+04,3.821066791059946066e-01,1.922500780650156921e-02,8.412496654789762829e+00,1.996468243766799308e-02,1.004486957978616753e-03
2.036274999999999891e-01,1.740965545203869147e-01,6.872787456080209267e+01,6.911176780089525096e+01,-3.838932400931575062e-01,2.867375850152215633e-01,1.005358107338187838e+05,3.898966540303181461e-01,1.884781735271724018e-02,8.448409074422732701e+00,2.093594960899263294e-02,1.012055246581575890e-03
2.106824999999999670e-01,1.770561650129148512e-01,6.810791570308005305e+01,6.847358614319836079e+01,-3.656704401183082376e-01,2.986197451478377340e-01,1.026929393001280405e+05,3.975242304458938558e-01,1.851046548315307683e-02,8.485430043349719398e+00,2.189906056138164053e-02,1.019715965943129117e-03
2.177374999999999727e-01,1.797650104625082290e-01,6.748880360717546978e+01,6.784116791504712296e+01,-3.523643078716549026e-01,3.102889876655809953e-01,1.047323352779893321e+05,4.050151275574087051e-01,1.820641024272044370e-02,8.523538931045463229e+00,2.285701000596550292e-02,1.027477920640354047e-03
2.247924999999999784e-01,1.822433739116266216e-01,6.687454697174736395e+01,6.721002985436709309e+01,-3.354828826197327474e-01,3.217585207522612456e-01,1.066646280706075922e+05,4.123778241625052354e-01,1.793101028645904815e-02,8.562744834990311915e+00,2.381091945322839215e-02,1.035346268953678912e-03
2.318474999999999842e-01,1.845152447552938224e-01,6.627025757741940026e+01,6.658395494051295316e+01,-3.136973630935582236e-01,3.330596764235037588e-01,1.085022334347874421e+05,4.196324333837782028e-01,1.768004167940427293e-02,8.603016391714145783e+00,2.476315140307243021e-02,1.043326287697388501e-03
2.389024999999999899e-01,1.866014767587955148e-01,6.567908265971369985e+01,6.596389087195372269e+01,-2.848082122400191207e-01,3.442226068075487921e-01,1.102560340568936081e+05,4.267983109326198288e-01,1.745005193565365639e-02,8.644335544768523505e+00,2.571604117285612376e-02,1.051424625053383423e-03
2.459574999999999678e-01,1.881036352368317954e-01,6.514475174449901829e+01,6.538533125664471868e+01,-2.405795121457066366e-01,3.553174707169478586e-01,1.116857435324044200e+05,4.349151053346539952e-01,1.727104491295029104e-02,8.686501065340056726e+00,2.667439303537161299e-02,1.059274866494004392e-03
2.530124999999999735e-01,1.887477101232896137e-01,6.460768002810101507e+01,6.478207580495804052e+01,-1.743957768570220668e-01,3.661743678700278837e-01,1.126273169946167181e+05,4.444571238588053697e-01,1.716030722517654025e-02,8.729841790159699855e+00,2.762659877458198410e-02,1.066651645590718529e-03
