RHO   : 1.225
NU    : 1.463e-05
B     : 2
U_inf : 7.9
RPM   : 140
power : 205.33739166034184
R_out : 1.44
R_in  : 0.059
N     : 200
M     : 200
dt    : 0.05
thrust: 22.990811496713718
eta   : 0.8845315962933665
optsucess:Optimization terminated successfully
îºåar[m],óÉå∑í∑chord[m],éÊïtäptheta[deg],ó¨ì¸äpphi[deg],å}äpalpha[deg],èzä¬gamma,Re,ógóÕåWêîCL,çRóÕåWêîCD,ó¨ì¸ë¨ìxV,ã«èäógóÕdL,ã«èäçRóÕdD
6.245249999999999413e-02,8.945546945897282776e-03,nan,8.069969022439472894e+01,nan,1.319220765945026790e-02,4.872117718409229383e+03,3.701564960859772824e-01,8.326957898958763093e-02,7.968107780488248082e+00,8.891447131092986315e-04,2.000200096562179089e-04
6.935749999999998860e-02,1.615202105965301768e-02,nan,7.997304914893442174e+01,nan,2.369215244422327726e-02,8.811065953707016888e+03,3.675883474855864419e-01,6.203563578935770290e-02,7.980790417908409928e+00,1.599374605234932462e-03,2.699166640612634250e-04
7.626249999999999696e-02,2.371313653140732017e-02,8.260053849121064218e+01,7.921676978151226933e+01,3.383768709698367960e+00,3.459220288575858004e-02,1.295875980004583289e+04,3.649223382960701256e-01,5.346731286281837525e-02,7.995005452929808243e+00,2.339358360256466735e-03,3.427556831136015269e-04
8.316749999999999143e-02,3.204520096459651662e-02,8.166083213393407902e+01,7.846347755524863032e+01,3.197354578685451365e+00,4.646472132224385015e-02,1.754600586815117640e+04,3.620184762062436112e-01,4.856887671167151727e-02,8.010499485855971713e+00,3.148347815442739065e-03,4.223864994298916664e-04
9.007249999999999979e-02,4.141632800653712032e-02,8.076810461504520333e+01,7.770253619264801159e+01,3.065568422397189519e+00,5.964326302449148021e-02,2.272482079296107622e+04,3.587951779773899674e-01,4.528243929086233494e-02,8.027368533215804902e+00,4.049807390494018083e-03,5.111137734166742346e-04
9.697749999999999426e-02,5.240842464453988880e-02,7.998969558713915262e+01,7.706907447678828760e+01,2.920621110350871685e+00,7.483719919130850384e-02,2.881715775442101585e+04,3.550193716980055147e-01,4.255822600379045167e-02,8.044413103554388655e+00,5.092272806184111773e-03,6.104402019585826325e-04
1.038824999999999887e-01,6.618578664712547466e-02,7.985356021971765017e+01,7.740117381996221013e+01,2.452386399755444035e+00,9.340224805915937900e-02,3.644249740714267682e+04,3.503764170277580137e-01,3.930890621202715041e-02,8.055411351519426333e+00,6.364214716548401325e-03,7.140044456421982362e-04
1.107874999999999971e-01,7.983803657997441683e-02,7.922198007029606970e+01,7.745607026174241128e+01,1.765909808553658644e+00,1.114882745452602936e-01,4.404572897209120856e+04,3.460278557640809605e-01,3.543126264802760883e-02,8.071203181658965775e+00,7.611447321073765149e-03,7.793684371713083866e-04
1.176925000000000054e-01,9.159383661501406537e-02,7.791323410778636571e+01,7.676036899273653091e+01,1.152865115049840572e+00,1.272200098008287039e-01,5.066347697189082101e+04,3.432781038712326982e-01,3.198870165026749396e-02,8.092320351359363784e+00,8.708197360042991067e-03,8.114817814495812239e-04
1.245974999999999999e-01,1.025947315683248540e-01,7.690034117021797044e+01,7.616192205998036968e+01,7.384191102375956550e-01,1.424650970175287690e-01,5.690173724289287929e+04,3.422698321355185369e-01,2.941053240101698316e-02,8.114182893583794964e+00,9.778067754371115583e-03,8.402089565270454532e-04
