RHO   : 1.225
NU    : 1.463e-05
B     : 2
U_inf : 7.9
RPM   : 140
power : 231.5127449134942
R_out : 1.52
R_in  : 0.059
N     : 200
M     : 200
dt    : 0.05
thrust: 25.990052769998552
eta   : 0.8868687421926075
optsucess:Optimization terminated successfully
îºåar[m],óÉå∑í∑chord[m],éÊïtäptheta[deg],ó¨ì¸äpphi[deg],å}äpalpha[deg],èzä¬gamma,Re,ógóÕåWêîCL,çRóÕåWêîCD,ó¨ì¸ë¨ìxV,ã«èäógóÕdL,ã«èäçRóÕdD
6.265249999999999986e-02,8.389104622708426148e-03,nan,8.074203960383108836e+01,nan,1.237787163210968960e-02,4.568910425647325610e+03,3.703556719837301503e-01,8.640384998164601926e-02,7.967853845365446830e+00,8.825587856539267653e-04,2.059006589724256893e-04
6.995750000000000579e-02,1.529403078010719771e-02,nan,7.989942053970079883e+01,nan,2.245527592378957285e-02,8.344206704193216865e+03,3.678908712387984337e-01,6.351738403521034471e-02,7.981920910027822558e+00,1.603917866281935785e-03,2.769208888780407235e-04
7.726249999999999785e-02,2.284595779758929676e-02,8.252915755526700536e+01,7.912381271337841326e+01,3.405344841888593876e+00,3.336258155528475794e-02,1.248783334836012727e+04,3.652230875250990771e-01,5.416228002240227463e-02,7.996907089874202512e+00,2.387470465020527337e-03,3.540598836396678857e-04
8.456750000000000378e-02,3.122063491842682822e-02,8.151166053285703583e+01,7.829841678241747616e+01,3.213243750439565893e+00,4.532254585283666121e-02,1.710150079658991672e+04,3.622978373260670737e-01,4.893504503631453117e-02,8.013769012315702156e+00,3.250180094888161647e-03,4.389971259374169060e-04
9.187249999999999583e-02,4.082459038767483755e-02,8.058024797231716718e+01,7.750856762704123071e+01,3.071680345275930701e+00,5.885511560162186989e-02,2.241248528326159067e+04,3.589879484864196280e-01,4.544159182125749596e-02,8.031793009565877384e+00,4.230123370147528643e-03,5.354595895217857280e-04
9.917750000000000177e-02,5.220251905452755192e-02,7.978082492455899910e+01,7.685681917195606161e+01,2.924005752602941488e+00,7.460744719975752337e-02,2.872401879768590516e+04,3.550770863248485787e-01,4.259468014062564589e-02,8.050040546342136949e+00,5.374481311062649994e-03,6.447172210854756110e-04
1.064825000000000077e-01,6.650419551165098753e-02,7.959509422384618915e+01,7.715957424440929913e+01,2.435519979436890470e+00,9.390099487169023540e-02,3.665000563133799733e+04,3.502529625948915815e-01,3.918751290892577566e-02,8.062492573006750263e+00,6.774789880469574664e-03,7.579869244481685043e-04
1.137875000000000136e-01,8.057351162918065246e-02,7.886108869990886205e+01,7.713857812538513770e+01,1.722510574523720139e+00,1.125777713201166902e-01,4.450064753876477334e+04,3.458374224920836015e-01,3.516253196221902355e-02,8.080130309926136789e+00,8.140054648084477443e-03,8.276285708902188449e-04
1.210925000000000057e-01,9.274294681841603605e-02,7.750735589419194582e+01,7.641032847502415848e+01,1.097027419167792894e+00,1.288776974760186267e-01,5.136698326905822614e+04,3.429883564435933230e-01,3.167380529021467800e-02,8.103030915091606445e+00,9.345048791425815404e-03,8.629833937113702558e-04
1.283974999999999977e-01,1.040536115445416659e-01,7.647325003296920443e+01,7.578507431163863828e+01,6.881757213305689236e-01,1.446951359792703617e-01,5.780047294056457031e+04,3.422222244212441145e-01,2.908139960968068524e-02,8.126781056114321444e+00,1.052273905507083822e-02,8.942025316048180829e-04
