”¼Œar[mm],—ƒŒ·’·chord[mm],æ•tŠptheta[deg]
0.0,-0.05083209812560453,nan
0.001,-0.04988686524984837,nan
0.002,-0.04894163237409221,nan
0.003,-0.04799639949833604,nan
0.004,-0.04705116662257988,nan
0.005,-0.04610593374682372,nan
0.006,-0.045160700871067556,nan
0.007,-0.0442154679953114,nan
0.008,-0.04327023511955523,nan
0.009000000000000001,-0.04232500224379907,nan
0.01,-0.041379769368042905,nan
0.011,-0.04043453649228675,nan
0.012,-0.03948930361653059,nan
0.013000000000000001,-0.03854407074077442,nan
0.014,-0.03759883786501826,nan
0.015,-0.036653604989262095,nan
0.016,-0.035708372113505936,nan
0.017,-0.03476313923774977,nan
0.018000000000000002,-0.03381790636199361,nan
0.019,-0.032872673486237444,nan
0.02,-0.031927440610481285,nan
0.021,-0.03098220773472512,nan
0.022,-0.03003697485896896,nan
0.023,-0.0290917419832128,nan
0.024,-0.028146509107456634,nan
0.025,-0.027201276231700475,nan
0.026000000000000002,-0.02625604335594431,nan
0.027,-0.025310810480188156,nan
0.028,-0.02436557760443199,nan
0.029,-0.023420344728675824,nan
0.03,-0.022475111852919664,nan
0.031,-0.021529878977163505,nan
0.032,-0.02058464610140734,nan
0.033,-0.019639413225651173,nan
0.034,-0.018694180349895013,nan
0.035,-0.017748947474138847,nan
0.036000000000000004,-0.016803714598382688,nan
0.037,-0.01585848172262653,nan
0.038,-0.014913248846870368,nan
0.039,-0.013968015971114201,nan
0.04,-0.013022783095358039,nan
0.041,-0.012077550219601876,nan
0.042,-0.011132317343845713,nan
0.043000000000000003,-0.01018708446808955,nan
0.044,-0.009241851592333395,nan
0.045,-0.008296618716577232,nan
0.046,-0.007351385840821069,nan
0.047,-0.006406152965064905,nan
0.048,-0.005460920089308742,nan
0.049,-0.0045156872135525775,nan
0.05,-0.003570454337796415,nan
0.051000000000000004,-0.002625221462040252,nan
0.052000000000000005,-0.0016799885862840893,nan
0.053,-0.0007347557105279318,nan
0.054,0.00021047716522823098,nan
0.055,0.0011557100409843946,nan
0.056,0.0021009429167405573,nan
0.057,0.003046175792496721,nan
0.058,0.003991408668252884,nan
0.059000000000000004,0.0049366415440090464,nan
0.06,0.005881874419765204,nan
0.061,0.006827107295521367,nan
0.062,0.0077723401712775295,nan
0.063,0.008717573047033694,nan
0.064,0.009662805922789857,nan
0.065,0.01060803879854602,nan
0.066,0.011553271674302182,nan
0.067,0.012498504550058347,nan
0.068,0.01344373742581451,nan
0.069,0.014388970301570672,nan
0.07,0.0153379673849317,nan
0.07100000000000001,0.01637176985139058,nan
0.07200000000000001,0.01740557231784946,nan
0.073,0.018439374784308325,nan
0.074,0.019473177250767203,nan
0.075,0.020506979717226086,nan
0.076,0.021540782183684964,nan
0.077,0.022574584650143843,nan
0.078,0.02369145052539459,82.42643283876771
0.079,0.024837881342757703,82.28714508758222
0.08,0.02598431216012082,82.14785733639674
0.081,0.02713074297748393,82.00856958521125
0.082,0.02827717379484704,81.86928183402577
0.083,0.029423604612210153,81.72999408284028
0.084,0.030570035429573265,81.5907063316548
0.085,0.0317892469294398,81.45651529912213
0.08600000000000001,0.03310395678149292,81.32901186852119
0.08700000000000001,0.03441866663354604,81.20150843792025
0.088,0.03573337648559914,81.07400500731931
0.089,0.03704808633765226,80.94650157671836
0.09,0.03836279618970538,80.81899814611742
0.091,0.039677506041758494,80.69149471551648
0.092,0.041023178465022375,80.56629500331113
0.093,0.04258073201284615,80.45685995228331
0.094,0.04413828556066993,80.3474249012555
0.095,0.045695839108493716,80.23798985022768
0.096,0.04725339265631749,80.12855479919988
0.097,0.048810946204141274,80.01911974817206
0.098,0.05036849975196506,79.90968469714424
0.099,0.05192605329978883,79.80024964611644
0.1,0.053812803638508946,79.75991274094007
0.101,0.05577059644578115,79.73448759368301
0.10200000000000001,0.05772838925305335,79.70906244642595
0.10300000000000001,0.059686182060325554,79.6836372991689
0.10400000000000001,0.061643974867597755,79.65821215191184
0.105,0.06360176767486993,79.63278700465477
0.106,0.06555956048214213,79.60736185739772
0.107,0.06750089244400163,79.54309588590813
0.108,0.06942687685434108,79.44261600583457
0.109,0.07135286126468053,79.34213612576102
0.11,0.07327884567501998,79.24165624568745
0.111,0.07520483008535943,79.1411763656139
0.112,0.07713081449569888,79.04069648554035
0.113,0.07905679890603831,78.94021660546679
0.114,0.08092751641736852,78.82170906661456
0.115,0.08259342130295859,78.63639314522963
0.116,0.08425932618854864,78.4510772238447
0.117,0.08592523107413871,78.26576130245978
0.11800000000000001,0.08759113595972877,78.08044538107484
