RHO   : 1.225
NU    : 1.463e-05
B     : 2
U_inf : 7.9
RPM   : 140
power : 188.01420530060614
R_out : 1.375
R_in  : 0.059
N     : 200
M     : 200
dt    : 0.05
thrust: 20.990420378579408
eta   : 0.8819776182637341
optsucess:Optimization terminated successfully
îºåar[m],óÉå∑í∑chord[m],éÊïtäptheta[deg],ó¨ì¸äpphi[deg],å}äpalpha[deg],èzä¬gamma,Re,ógóÕåWêîCL,çRóÕåWêîCD,ó¨ì¸ë¨ìxV,ã«èäógóÕdL,ã«èäçRóÕdD
6.228999999999999815e-02,9.712835431211262402e-03,nan,8.064435613849114759e+01,nan,1.431390105753516107e-02,5.290300156898926616e+03,3.698821446118117362e-01,7.953261814593470813e-02,7.968537286930982511e+00,9.193875160723318125e-04,1.976880941918955842e-04
6.887000000000000066e-02,1.734614954828744837e-02,nan,7.999080899865603556e+01,nan,2.541293299709971101e-02,9.461854542640172440e+03,3.671674671610671847e-01,6.020929394589272926e-02,7.980268564702438283e+00,1.634685765504338825e-03,2.680609927819166036e-04
7.545000000000000318e-02,2.527393564606801243e-02,8.272476714917378615e+01,7.937809771991661023e+01,3.346669429257179029e+00,3.680435624831260299e-02,1.380793851898904904e+04,3.643812746354181398e-01,5.232898436548501231e-02,7.992824835899171809e+00,2.371163513274143590e-03,3.405240253859917379e-04
8.203000000000000569e-02,3.353626878586368071e-02,8.173214741427275953e+01,7.856204074687424566e+01,3.170106667398516986e+00,4.854468340639665064e-02,1.835723781124879315e+04,3.615097447962432597e-01,4.794300959766852749e-02,8.008237019252923972e+00,3.133578464454103360e-03,4.155715981627162406e-04
8.860999999999999432e-02,4.290489979782316499e-02,8.092145071857797234e+01,7.787132190981408542e+01,3.050128808763886923e+00,6.167390277143110916e-02,2.353109293045930099e+04,3.582985101633302527e-01,4.488890029093185741e-02,8.023789618315017691e+00,3.988806300684121821e-03,4.997317131729880077e-04
9.518999999999999684e-02,5.368653333354482526e-02,8.011074608736078062e+01,7.721661061015475980e+01,2.894135477206021712e+00,7.653038795641076142e-02,2.950449310898146723e+04,3.545940358517606361e-01,4.229533011706133189e-02,8.040205008258404007e+00,4.959786928764871317e-03,5.915943424104672501e-04
1.017699999999999994e-01,6.729038861049305154e-02,8.004220650489858713e+01,7.763743839879096242e+01,2.404768106107631365e+00,9.479876540897592962e-02,3.702390024854116928e+04,3.500307381119673322e-01,3.897203955782740925e-02,8.049584373357188127e+00,6.150892270166477549e-03,6.848336182183629300e-04
1.083499999999999880e-01,8.064425132184191436e-02,7.944285640829257034e+01,7.771567855554454241e+01,1.727177852748021492e+00,1.124606443628710789e-01,4.445171723162477429e+04,3.458578951269937196e-01,3.519117715554221509e-02,8.064165919319950859e+00,7.310077892666528264e-03,7.438033069830085869e-04
1.149299999999999905e-01,9.217187051912173468e-02,7.817743787789564180e+01,7.704607446547514371e+01,1.131363412420494541e+00,1.278484476523640001e-01,5.093003998046371998e+04,3.431682591437615337e-01,3.186838646691291660e-02,8.083881565142007730e+00,8.330621131272839680e-03,7.736247355254866455e-04
1.215099999999999930e-01,1.029626218268387822e-01,7.724072175390388395e+01,7.650980228993617516e+01,7.309194639677116800e-01,1.427949069390014314e-01,5.703463932336620928e+04,3.422627912287112273e-01,2.936121007099000077e-02,8.104074648605578801e+00,9.327776527603933929e-03,8.001886653791023644e-04
